Itemid,SeoText,ManufacturerID,ManufacturerName,ProductName,Description,Invoice,Feature,Images,Popularity
777707,3M-Healthcare-US-Opco-LLC-81501,81501,3M Healthcare US Opco LLC,"GOWN, WARMING BAIR PAWS PED 33""L (20/CS)              ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ Small Blue Reusable,"GOWN, WARMING BAIR PAWS PED 33""L (20/CS)              ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/777707.jpg,5
865015,3M-Healthcare-US-Opco-LLC-81102,81102,3M Healthcare US Opco LLC,"GOWN, WARMING BAIR PAWS SM (20/CS)                    3M",Patient Warming Gown 3M™ Bair Hugger™ Plus Small Blue Reusable,"GOWN, WARMING BAIR PAWS SM (20/CS)                    3M",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/865015.jpg,
679401,3M-Healthcare-US-Opco-LLC-81202,81202,3M Healthcare US Opco LLC,"GOWN, BAIR PAWS XLG (20/CS)   ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ Plus X-Large Blue Reusable,"GOWN, BAIR PAWS XLG (20/CS)   ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/679401.jpg,3
1160469,3M-Healthcare-US-Opco-LLC-96752,96752,3M Healthcare US Opco LLC,"HOSE, REPLACEMENT F/BAIR HUGGER",3M™ Bair Hugger™ Hose Relpacement with Sensor,"HOSE, REPLACEMENT F/BAIR HUGGER",,,3
1019343,3M-Healthcare-US-Opco-LLC-40034,40034,3M Healthcare US Opco LLC,"BLANKET, WARMING FULL BODY NOVA+ (10/CS)",Forced Air Warming Blanket 3M™ Bair Hugger™ 37 W X 85 L Inch Polypropylene Cover,"BLANKET, WARMING FULL BODY NOVA+ (10/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1019343.jpg,11
986382,3M-Healthcare-US-Opco-LLC-42534,42534,3M Healthcare US Opco LLC,"BLANKET, WARMING LOWER BODY DISP (10/CS)",Forced Air Warming Blanket 3M™ Bair Hugger™ NovaPlus Polypropylene Cover,"BLANKET, WARMING LOWER BODY DISP (10/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/986382.jpg,58
1213064,3M-Healthcare-US-Opco-LLC-90020,90020,3M Healthcare US Opco LLC,"PROBE, TEMP CALIBRATION RANGERFLUID WARMING",Thermperature Probe 3M,"PROBE, TEMP CALIBRATION RANGERFLUID WARMING",,,
986381,3M-Healthcare-US-Opco-LLC-42234,42234,3M Healthcare US Opco LLC,"BLANKET, WARMING UPPER BODY DISP (10/CS)",Forced Air Warming Blanket 3M™ Bair Hugger™ NovaPlus Polypropylene Cover,"BLANKET, WARMING UPPER BODY DISP (10/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/986381.jpg,97
527960,3M-Healthcare-US-Opco-LLC-81201,81201,3M Healthcare US Opco LLC,"GOWN, OR BAIR PAWS XLG ADLT (20/CS)                   ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ X-Large Blue Reusable,"GOWN, OR BAIR PAWS XLG ADLT (20/CS)                   ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/527960.jpg,1
417136,3M-Healthcare-US-Opco-LLC-24250,24250,3M Healthcare US Opco LLC,"FLOW SET, STD DISP W/EXT SET 30"" (10/CS) ARIZAN","Fluid Warming Set Ranger™ Pump 1 Port 9,000 mL / Hr Drip Rate Without Filter 30 Inch Tubing Solution","FLOW SET, STD DISP W/EXT SET 30"" (10/CS) ARIZAN",,,15
495513,3M-Healthcare-US-Opco-LLC-24370,24370,3M Healthcare US Opco LLC,"HIGH FLOW SET, RANGER DISP W/EXT (10/CS) ARIZAN","Fluid Warming Set Ranger™HiFlow Pump Without Ports 30,000 mL / Hr Drip Rate Without Filter 48 Inch Tubing Blood / Solution","HIGH FLOW SET, RANGER DISP W/EXT (10/CS) ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/ARIZAN_495513.jpg,3
527961,3M-Healthcare-US-Opco-LLC-83001,83001,3M Healthcare US Opco LLC,"GOWN, OR BAIR PAWS W/BOOTIES STD ADLT (30/CS)         ARIZAN",Patient Warming Gown with Booties 3M™ Bair Hugger™ One Size Fits Most Blue Disposable,"GOWN, OR BAIR PAWS W/BOOTIES STD ADLT (30/CS)         ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/527961.jpg,8
388909,3M-Healthcare-US-Opco-LLC-24200,24200,3M Healthcare US Opco LLC,"WARMING SYSTEM, RANGER BLD/FLUID (10/CS) ARIZAN","Fluid Warming Set Ranger™ Pump 1 Port 9,000 mL / Hr Drip Rate Without Filter 30 Inch Tubing Blood / Solution","WARMING SYSTEM, RANGER BLD/FLUID (10/CS) ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/388909.jpg,36
742941,3M-Healthcare-US-Opco-LLC-24750,24750,3M Healthcare US Opco LLC,"WARMING SET, IRRIGATION FLUID F/24700 (10/CS) ARIZAN",Irrigation Warming Set 3M Ranger® 308 mL Priming Volume,"WARMING SET, IRRIGATION FLUID F/24700 (10/CS) ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/742941.jpg,1
